"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_000071" 0 54 294 235 378 324 271 219 143 84 107 159 252 174 189 204 126
"XLOC_000072" 252 204 324 378 189 159 0 107 143 219 84 54 126 174 294 235 271
"XLOC_000073" 84 54 294 271 378 324 159 126 143 174 0 107 189 204 219 252 235
"XLOC_000074" 0 54 84 107 324 378 126 235 143 159 174 189 271 204 219 294 252
"XLOC_000075" 0 54 219 84 378 324 189 204 107 126 143 159 235 174 252 271 294
"XLOC_000076" 107 126 378 324 0 54 174 84 204 143 159 189 294 271 235 219 252
"XLOC_000077" 0 159 252 235 54 174 378 324 204 143 294 271 84 107 189 219 126
"XLOC_000078" 324 378 0 174 54 84 107 126 235 219 159 143 204 189 271 252 294
"XLOC_000079" 378 324 54 0 159 126 84 107 235 294 174 143 252 189 204 219 271
"XLOC_000080" 219 235 84 0 54 126 159 107 271 252 174 143 204 189 324 378 294
"XLOC_000081" 378 324 0 54 84 107 219 174 235 126 159 143 271 294 252 204 189
"XLOC_000082" 252 235 378 324 271 189 174 159 143 219 84 54 204 294 107 0 126
"XLOC_000083" 143 126 54 0 84 107 324 204 378 271 174 159 294 235 189 219 252
"XLOC_000084" 204 159 107 84 0 54 378 324 271 235 294 126 189 143 219 174 252
"XLOC_000085" 84 143 378 324 0 54 189 159 294 271 126 107 174 204 235 219 252
"XLOC_000086" 235 189 271 324 0 54 84 204 252 159 107 126 174 143 294 219 378
"XLOC_000087" 294 271 378 324 204 107 0 54 159 252 143 84 189 126 235 174 219
"XLOC_000088" 252 219 204 235 54 0 159 126 378 324 294 271 174 84 107 143 189
"XLOC_000089" 294 271 324 378 235 126 0 84 54 204 143 107 252 159 189 174 219
"XLOC_000090" 324 378 294 271 126 107 143 84 204 189 54 0 174 159 219 252 235
"XLOC_000091" 126 107 235 219 189 174 0 159 204 143 54 84 324 378 252 271 294
"XLOC_000092" 378 324 271 294 54 0 84 126 107 204 252 235 219 143 174 159 189
"XLOC_000093" 174 159 378 324 84 0 54 107 143 204 219 126 294 189 235 252 271
"XLOC_000094" 219 294 0 204 54 84 107 126 189 143 235 159 378 324 252 174 271
"XLOC_000095" 84 126 54 0 143 107 378 324 174 159 294 271 235 252 189 204 219
"XLOC_000096" 143 126 378 324 0 84 294 189 107 54 219 204 174 159 271 235 252
"XLOC_000097" 189 0 126 174 324 204 54 84 235 294 143 159 219 107 252 271 378
"XLOC_000098" 107 84 324 378 271 294 204 174 0 54 219 189 235 252 143 126 159
"XLOC_000099" 126 159 54 107 204 219 235 174 294 252 271 84 324 378 143 0 189
"XLOC_000100" 378 324 219 235 54 0 252 204 107 84 294 126 271 189 143 159 174
"XLOC_000101" 0 54 84 204 107 126 143 219 378 324 159 235 189 174 252 271 294
"XLOC_000102" 0 159 204 219 174 189 294 324 84 126 378 235 271 252 54 107 143
"XLOC_000103" 235 271 378 324 54 0 219 189 84 159 204 107 294 252 143 126 174
"XLOC_000104" 204 219 324 378 0 54 84 107 235 126 189 143 174 159 252 271 294
"XLOC_000105" 271 378 235 219 324 294 204 252 84 54 174 189 107 159 143 126 0
"XLOC_000106" 235 252 324 378 107 54 0 84 271 294 143 126 219 159 174 189 204
"XLOC_000107" 378 324 143 107 54 0 189 204 84 126 174 159 252 235 219 271 294
"XLOC_000108" 84 54 271 252 235 174 324 294 204 189 378 219 107 0 143 159 126
"XLOC_000109" 0 252 54 84 107 126 143 294 219 159 174 189 204 235 271 378 324
"XLOC_000110" 0 159 174 54 84 107 252 271 235 219 143 126 189 204 294 378 324
"XLOC_000111" 235 271 84 107 54 0 252 204 143 126 324 219 378 294 159 174 189
"XLOC_000112" 219 252 126 107 54 0 84 143 294 378 159 174 271 324 235 189 204
"XLOC_000113" 324 252 143 84 126 0 54 189 294 378 219 107 271 159 174 204 235
"XLOC_000114" 271 324 189 219 107 0 54 84 143 174 159 126 378 204 235 252 294
"XLOC_000115" 378 324 294 271 143 126 0 84 174 252 54 107 189 159 235 204 219
"XLOC_000116" 0 54 271 219 84 107 126 143 204 159 174 189 252 235 378 324 294
"XLOC_000117" 0 54 84 107 126 143 159 174 189 204 219 235 271 252 324 378 294
"XLOC_000118" 143 159 0 126 189 219 54 204 324 378 84 107 235 174 252 271 294
"XLOC_000119" 107 126 294 324 54 0 252 235 204 271 378 219 143 84 189 174 159
"XLOC_000120" 126 84 174 219 107 0 294 378 159 143 252 324 235 271 54 204 189
"XLOC_000121" 143 84 219 294 107 0 126 54 235 271 174 204 378 252 324 189 159
"XLOC_000122" 219 252 294 271 378 324 159 126 84 54 107 0 174 143 189 235 204
"XLOC_000123" 174 189 378 294 324 271 84 54 126 143 107 0 204 159 219 235 252
"XLOC_000124" 143 84 0 54 294 378 271 204 235 159 174 252 107 126 189 324 219
"XLOC_000125" 378 324 107 143 174 126 0 159 189 219 84 54 235 204 271 252 294
"XLOC_000126" 204 294 324 378 126 84 0 54 143 271 159 107 235 174 252 189 219
"XLOC_000127" 189 271 378 324 107 0 54 126 294 252 159 84 174 143 219 235 204
"XLOC_000128" 54 84 324 294 252 271 174 204 378 235 189 219 143 0 126 159 107
"XLOC_000129" 378 324 252 235 54 0 84 107 294 271 219 126 204 143 189 174 159
"XLOC_000130" 294 378 271 324 126 0 143 107 189 204 252 84 235 54 174 159 219
"XLOC_000131" 219 204 378 324 159 143 294 271 54 0 252 235 189 174 84 126 107
"XLOC_000132" 126 143 107 84 54 0 189 204 235 219 324 159 294 174 271 378 252
"XLOC_000133" 54 0 271 235 378 324 294 204 189 159 219 252 84 174 107 126 143
"XLOC_000134" 0 54 84 324 378 107 126 143 294 159 174 189 252 204 235 219 271
"XLOC_000135" 0 189 219 252 378 324 54 84 159 174 107 126 235 143 204 271 294
"XLOC_000136" 294 324 252 271 204 378 107 126 143 84 0 54 189 159 219 235 174
