"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_005410" 294 235 189 204 324 378 0 84 143 126 174 219 252 271 107 54 159
"XLOC_005411" 0 189 271 324 294 378 143 84 107 174 126 235 159 54 204 219 252
"XLOC_005412" 0 54 84 107 378 324 126 143 159 174 189 204 219 235 294 252 271
"XLOC_005413" 0 84 204 235 271 378 324 294 159 189 174 252 54 219 143 126 107
"XLOC_005414" 159 126 204 174 84 189 378 324 143 54 294 271 107 0 252 219 235
"XLOC_005415" 294 271 54 0 378 324 159 84 252 219 189 235 174 204 143 126 107
"XLOC_005416" 84 107 0 54 294 324 378 271 189 159 219 252 204 235 126 174 143
"XLOC_005417" 378 271 0 84 189 204 54 107 252 294 235 324 219 143 126 159 174
"XLOC_005418" 324 294 159 235 107 0 84 54 174 143 219 126 271 378 252 204 189
"XLOC_005419" 0 84 324 378 294 271 252 189 159 54 107 235 204 219 174 126 143
"XLOC_005420" 204 271 189 219 324 378 107 143 174 126 54 0 84 159 294 252 235
"XLOC_005421" 84 0 324 235 126 252 378 189 271 294 107 54 174 159 204 219 143
"XLOC_005422" 219 204 294 271 378 324 54 174 235 189 84 252 143 159 126 0 107
"XLOC_005423" 294 271 204 189 324 378 0 54 252 159 174 235 219 143 107 84 126
"XLOC_005424" 84 107 0 54 143 159 126 174 324 294 189 219 252 378 235 271 204
"XLOC_005425" 378 324 54 0 143 219 84 252 204 159 294 271 235 126 189 107 174
"XLOC_005426" 189 174 271 252 324 378 294 235 219 204 54 84 0 126 143 159 107
"XLOC_005427" 324 378 235 204 174 126 189 219 159 143 0 54 84 107 271 294 252
"XLOC_005428" 324 378 107 0 54 84 235 159 294 174 271 189 143 126 219 204 252
"XLOC_005429" 0 54 324 378 84 107 126 143 159 174 189 204 219 235 252 271 294
"XLOC_005430" 294 252 107 84 143 189 0 54 324 378 159 126 204 174 271 235 219
"XLOC_005431" 143 126 294 271 324 378 0 107 174 189 159 54 204 84 219 235 252
"XLOC_005432" 174 204 252 271 324 378 294 219 0 84 189 235 159 126 107 143 54
"XLOC_005433" 159 189 378 294 219 126 54 0 174 84 143 107 271 324 204 235 252
"XLOC_005434" 252 294 159 107 324 378 84 143 189 219 54 0 126 174 204 235 271
"XLOC_005435" 219 174 54 0 378 324 294 271 235 204 189 252 84 126 159 143 107
"XLOC_005436" 143 174 294 271 159 84 107 54 378 324 0 126 189 235 252 204 219
"XLOC_005437" 219 84 271 294 324 378 235 159 189 107 0 54 143 252 126 174 204
"XLOC_005438" 219 324 252 174 84 107 54 0 294 159 143 126 204 378 235 189 271
"XLOC_005439" 204 252 54 0 126 84 235 107 219 378 189 159 174 143 294 271 324
"XLOC_005440" 235 174 54 0 324 378 143 159 252 219 189 271 204 294 126 84 107
"XLOC_005441" 378 271 174 126 252 219 294 204 54 0 235 324 189 143 84 107 159
"XLOC_005442" 294 252 378 324 271 235 84 107 0 54 159 126 174 143 219 204 189
"XLOC_005443" 271 189 54 84 294 378 324 252 126 0 204 174 107 219 159 235 143
"XLOC_005444" 252 143 54 0 324 378 271 159 235 189 107 174 219 294 126 204 84
"XLOC_005445" 54 0 271 294 324 378 219 204 126 107 84 235 174 252 143 189 159
"XLOC_005446" 54 0 378 324 271 294 84 107 235 252 143 219 126 204 189 174 159
"XLOC_005447" 107 0 271 235 252 378 324 294 84 54 143 219 126 204 174 189 159
"XLOC_005448" 189 219 84 54 0 126 143 107 378 294 271 324 204 252 174 235 159
"XLOC_005449" 235 143 0 54 378 324 204 252 174 126 219 294 189 271 159 107 84
"XLOC_005450" 54 189 159 143 84 107 235 204 294 378 126 174 271 324 219 0 252
"XLOC_005451" 126 84 174 159 252 324 378 294 204 189 235 271 143 219 107 54 0
"XLOC_005452" 84 0 252 271 324 378 294 235 189 126 107 204 54 219 159 174 143
"XLOC_005453" 219 189 252 235 324 378 294 271 107 54 174 204 0 84 159 143 126
"XLOC_005454" 189 159 219 0 204 294 54 84 324 378 174 107 126 143 252 235 271
"XLOC_005455" 219 235 107 143 204 271 378 324 189 174 294 252 0 54 159 126 84
"XLOC_005456" 189 126 271 294 252 378 324 235 174 159 143 219 54 204 107 84 0
"XLOC_005457" 219 189 54 0 174 235 126 84 378 252 204 159 143 107 324 294 271
"XLOC_005458" 324 378 54 0 252 294 84 204 189 235 159 271 174 107 219 126 143
"XLOC_005459" 54 0 107 126 324 378 294 271 159 84 235 252 143 219 204 174 189
"XLOC_005460" 271 189 54 0 84 126 294 378 324 252 159 174 107 143 219 204 235
"XLOC_005461" 0 54 271 252 294 189 378 324 159 126 235 219 84 107 143 204 174
"XLOC_005462" 84 107 126 54 219 294 378 252 324 143 174 271 0 204 189 235 159
"XLOC_005463" 294 204 0 54 107 126 378 324 219 84 235 159 271 252 143 174 189
"XLOC_005464" 54 0 189 159 271 294 378 324 204 219 235 252 84 174 143 107 126
"XLOC_005465" 294 271 143 159 378 324 54 126 107 0 84 174 235 252 219 189 204
"XLOC_005466" 378 324 0 54 271 294 126 159 107 235 219 252 204 84 174 143 189
"XLOC_005467" 54 0 252 294 271 324 378 235 189 159 174 219 126 204 84 107 143
"XLOC_005468" 271 252 204 189 0 107 159 174 378 324 84 143 54 126 219 294 235
"XLOC_005469" 159 204 378 324 271 294 219 235 143 126 189 252 54 174 84 0 107
"XLOC_005470" 271 378 54 0 143 159 252 235 294 324 174 126 84 107 219 189 204
"XLOC_005471" 189 219 378 324 204 174 143 84 54 0 107 235 126 159 252 271 294
"XLOC_005472" 204 235 324 271 54 0 159 126 252 84 378 219 294 107 189 174 143
"XLOC_005473" 107 0 84 54 143 204 378 324 294 235 174 159 126 189 252 271 219
"XLOC_005474" 378 294 219 107 84 235 126 0 324 159 143 189 174 54 252 204 271
"XLOC_005475" 252 235 126 107 174 204 324 378 54 0 219 271 189 294 143 159 84
"XLOC_005476" 189 174 271 294 324 378 252 235 0 54 126 159 204 219 84 107 143
"XLOC_005477" 189 126 84 54 219 378 159 252 324 271 0 107 143 174 235 294 204
"XLOC_005478" 378 324 0 54 159 204 294 271 84 107 219 252 189 235 126 174 143
"XLOC_005479" 378 324 174 159 219 271 84 107 252 294 0 54 126 143 204 189 235
"XLOC_005480" 174 143 271 252 378 324 54 0 204 219 159 294 189 235 126 107 84
"XLOC_005481" 84 0 294 324 174 252 378 271 143 126 107 204 54 159 219 235 189
"XLOC_005482" 107 84 0 54 159 252 174 271 378 324 126 143 235 294 204 219 189
"XLOC_005483" 107 54 126 84 235 204 378 324 174 159 252 294 0 143 219 271 189
"XLOC_005484" 54 126 0 84 174 219 189 235 252 324 143 107 159 204 294 378 271
"XLOC_005485" 143 107 235 204 324 378 294 271 159 126 0 174 54 252 189 219 84
"XLOC_005486" 378 324 107 84 219 159 0 54 294 252 235 204 271 143 174 126 189
"XLOC_005487" 252 271 84 107 0 126 54 143 159 174 235 294 324 378 219 204 189
"XLOC_005488" 378 294 324 271 235 252 107 143 54 0 84 126 204 219 189 174 159
"XLOC_005489" 324 378 294 252 54 0 84 107 189 159 143 174 204 126 219 271 235
"XLOC_005490" 174 235 294 271 378 324 126 219 252 189 143 159 204 107 84 0 54
"XLOC_005491" 0 54 252 324 219 271 378 294 107 84 159 235 126 204 143 189 174
"XLOC_005492" 204 159 54 0 324 378 271 219 252 235 174 189 143 294 107 126 84
"XLOC_005493" 174 159 143 204 0 378 324 107 252 189 54 235 126 84 294 219 271
"XLOC_005494" 235 174 0 54 324 378 294 252 159 143 219 271 204 189 107 126 84
"XLOC_005495" 84 126 204 252 143 219 378 294 159 174 189 271 235 324 0 54 107
"XLOC_005496" 0 54 126 84 324 378 271 219 294 235 174 143 159 107 252 204 189
"XLOC_005497" 107 143 54 0 235 219 159 189 294 252 84 126 174 204 324 378 271
"XLOC_005498" 126 107 204 159 189 84 0 54 324 378 235 174 252 143 271 294 219
"XLOC_005499" 0 54 219 235 324 378 271 252 294 189 84 143 126 204 107 174 159
"XLOC_005500" 324 294 0 54 126 84 271 204 252 378 235 219 143 107 174 189 159
"XLOC_005501" 159 143 204 219 294 378 324 235 126 107 189 252 174 271 54 0 84
"XLOC_005502" 107 189 324 378 235 252 219 84 54 0 126 204 271 294 159 143 174
"XLOC_005503" 126 219 189 174 107 0 54 84 324 294 252 143 271 159 235 378 204
"XLOC_005504" 174 107 159 126 324 378 204 54 0 143 84 189 294 219 271 252 235
"XLOC_005505" 271 294 189 235 378 324 204 126 252 219 54 174 143 159 107 84 0
"XLOC_005506" 84 126 54 0 107 143 378 324 252 235 294 271 159 219 204 189 174
"XLOC_005507" 235 189 159 174 324 378 271 252 143 126 204 294 54 219 84 107 0
"XLOC_005508" 54 84 294 378 0 107 126 143 174 159 235 252 271 324 219 189 204
"XLOC_005509" 204 219 84 54 252 235 294 271 0 107 324 378 174 189 143 159 126
"XLOC_005510" 294 271 0 54 84 107 252 219 126 235 324 378 204 143 189 174 159
"XLOC_005511" 324 378 126 143 107 54 219 204 0 84 271 252 294 235 174 189 159
"XLOC_005512" 84 143 159 204 107 54 235 126 378 294 252 189 324 0 219 174 271
"XLOC_005513" 271 235 174 189 107 0 159 84 143 54 204 126 324 378 219 252 294
"XLOC_005514" 107 54 252 235 0 126 271 324 143 84 294 378 159 174 189 219 204
"XLOC_005515" 143 189 378 324 84 159 0 126 235 219 107 54 174 204 271 252 294
"XLOC_005516" 0 54 107 84 126 143 159 174 189 204 271 294 324 378 235 252 219
"XLOC_005517" 84 107 252 271 54 0 126 378 294 324 189 174 204 235 143 219 159
"XLOC_005518" 252 235 324 378 54 84 294 219 0 174 271 189 143 159 107 126 204
"XLOC_005519" 189 252 159 143 204 0 84 54 126 174 219 107 378 271 235 294 324
"XLOC_005520" 107 126 54 0 378 324 174 204 159 189 143 84 294 219 271 252 235
"XLOC_005521" 107 204 143 235 189 0 378 324 252 219 294 271 84 54 126 174 159
"XLOC_005522" 324 378 204 252 54 0 107 84 174 189 143 126 219 159 235 271 294
"XLOC_005523" 324 378 54 0 84 107 294 252 204 126 271 143 235 159 189 174 219
"XLOC_005524" 252 235 159 0 143 126 54 84 204 271 189 174 219 107 324 378 294
"XLOC_005525" 0 84 324 294 378 159 143 107 174 204 271 126 189 54 219 252 235
"XLOC_005526" 235 189 378 324 271 294 54 84 126 0 204 159 252 219 107 143 174
"XLOC_005527" 378 324 294 271 84 107 0 54 189 159 126 143 174 204 219 235 252
"XLOC_005528" 378 324 0 54 159 174 84 235 219 189 126 107 204 143 294 252 271
"XLOC_005529" 204 189 294 271 378 252 54 0 219 324 174 84 235 107 143 126 159
"XLOC_005530" 294 324 143 159 54 0 84 107 189 219 174 126 378 252 204 271 235
"XLOC_005531" 0 54 324 378 84 107 271 126 252 143 159 174 189 204 219 235 294
"XLOC_005532" 378 324 189 252 54 0 174 143 84 126 271 107 294 159 204 235 219
"XLOC_005533" 107 84 0 54 324 294 271 235 252 378 143 189 126 219 159 204 174
"XLOC_005534" 378 324 54 0 126 143 159 107 235 219 174 84 204 189 271 294 252
"XLOC_005535" 378 324 143 126 54 0 84 107 219 294 204 159 189 174 271 235 252
"XLOC_005536" 0 204 54 84 107 126 378 294 252 143 271 324 159 174 189 219 235
"XLOC_005537" 0 54 271 324 294 84 378 235 174 107 126 143 159 219 252 189 204
"XLOC_005538" 0 126 324 378 294 271 235 252 84 54 189 219 107 143 174 159 204
"XLOC_005539" 54 0 294 378 235 271 324 252 126 143 189 219 107 204 84 174 159
"XLOC_005540" 159 235 126 143 54 0 294 189 271 324 378 107 204 84 219 174 252
"XLOC_005541" 143 126 204 219 54 0 189 174 252 378 235 107 159 84 324 271 294
"XLOC_005542" 324 271 235 189 0 54 84 107 294 378 126 143 204 159 219 252 174
"XLOC_005543" 378 324 143 159 235 189 271 252 54 84 294 204 219 174 0 126 107
"XLOC_005544" 189 204 294 271 378 324 0 54 143 126 159 107 235 84 252 219 174
"XLOC_005545" 324 271 235 294 0 107 84 54 143 204 219 126 378 159 174 189 252
"XLOC_005546" 0 54 84 107 126 143 159 235 378 324 174 189 219 204 271 252 294
"XLOC_005547" 159 204 54 143 126 0 84 107 378 324 189 219 235 174 294 252 271
"XLOC_005548" 252 107 219 204 378 324 271 189 0 54 159 84 294 235 126 174 143
"XLOC_005549" 204 189 378 324 54 0 126 143 271 219 84 107 174 159 252 294 235
"XLOC_005550" 0 54 378 324 84 107 126 143 294 159 174 189 204 219 235 252 271
"XLOC_005551" 126 143 159 84 54 0 324 294 252 271 378 235 174 107 204 219 189
"XLOC_005552" 378 324 159 174 143 54 126 107 271 294 189 0 204 84 235 219 252
"XLOC_005553" 54 159 84 126 294 324 204 378 189 107 219 271 143 0 235 174 252
"XLOC_005554" 189 159 174 84 54 0 107 204 294 378 324 143 271 126 252 235 219
"XLOC_005555" 219 159 378 324 0 54 189 174 84 235 204 143 126 107 271 294 252
"XLOC_005556" 0 294 54 378 84 107 324 126 143 271 159 174 189 204 219 235 252
"XLOC_005557" 174 219 252 271 54 0 294 84 159 126 378 324 204 143 189 235 107
"XLOC_005558" 219 159 252 235 0 54 294 174 189 84 324 378 204 271 126 143 107
"XLOC_005559" 378 294 324 271 143 126 252 219 174 107 235 159 204 189 0 54 84
"XLOC_005560" 107 235 159 204 54 0 378 271 324 252 294 143 126 84 219 174 189
"XLOC_005561" 294 378 271 324 126 84 0 54 204 159 107 252 143 189 235 174 219
"XLOC_005562" 54 107 189 219 0 84 378 324 252 235 159 271 126 294 174 204 143
"XLOC_005563" 294 252 126 0 378 324 271 189 54 107 204 235 143 84 174 159 219
"XLOC_005564" 378 324 294 271 219 252 107 84 54 0 189 204 174 235 143 159 126
"XLOC_005565" 271 126 143 84 294 0 235 54 219 159 174 324 378 107 189 204 252
"XLOC_005566" 235 252 143 159 0 54 84 174 324 294 107 204 126 189 378 219 271
"XLOC_005567" 107 143 324 378 159 0 204 294 252 271 219 54 174 126 189 84 235
"XLOC_005568" 324 252 271 378 235 107 0 159 143 84 174 54 294 204 189 219 126
"XLOC_005569" 324 378 189 159 54 0 107 84 219 271 235 252 294 174 204 143 126
"XLOC_005570" 159 174 54 84 0 107 126 143 324 378 189 204 271 294 235 252 219
"XLOC_005571" 143 235 174 126 0 54 84 107 294 378 159 219 271 324 252 204 189
"XLOC_005572" 219 271 204 0 54 84 107 126 324 378 143 159 235 294 174 189 252
"XLOC_005573" 0 84 143 107 378 324 189 204 54 174 159 126 294 271 219 252 235
"XLOC_005574" 294 235 252 219 159 174 0 54 84 126 143 107 378 271 189 204 324
"XLOC_005575" 219 189 271 294 378 252 0 84 54 159 107 204 235 324 143 126 174
"XLOC_005576" 378 324 54 0 107 143 159 174 189 204 84 126 219 235 271 294 252
"XLOC_005577" 84 143 54 0 126 189 174 219 252 271 107 159 204 235 324 294 378
"XLOC_005578" 0 126 143 54 159 84 107 174 378 324 189 219 204 235 252 271 294
"XLOC_005579" 54 84 324 378 219 271 235 252 189 204 174 294 107 159 0 143 126
"XLOC_005580" 189 235 294 252 174 84 0 54 107 143 159 126 378 219 204 271 324
"XLOC_005581" 143 126 204 189 159 0 378 294 107 54 324 271 219 84 235 252 174
"XLOC_005582" 0 54 84 107 143 174 126 204 324 378 189 159 235 219 271 252 294
"XLOC_005583" 0 84 174 126 54 107 159 204 271 252 189 143 235 219 294 324 378
"XLOC_005584" 204 235 174 189 0 54 159 219 294 271 84 126 107 143 252 378 324
"XLOC_005585" 159 219 294 378 252 174 0 54 143 126 84 107 271 324 204 189 235
"XLOC_005586" 252 204 143 189 84 0 324 294 219 378 235 54 174 159 271 107 126
"XLOC_005587" 252 378 143 219 126 107 0 54 294 324 235 174 271 84 159 189 204
"XLOC_005588" 159 126 204 235 294 252 378 324 54 174 271 219 143 189 0 84 107
"XLOC_005589" 378 294 54 0 84 107 252 324 271 235 159 189 126 143 174 219 204
"XLOC_005590" 235 252 271 378 126 174 294 54 0 84 324 204 159 219 107 143 189
"XLOC_005591" 378 324 252 294 204 84 219 0 107 189 271 143 174 54 126 159 235
"XLOC_005592" 294 271 84 143 54 0 378 252 126 107 324 235 189 159 174 204 219
"XLOC_005593" 143 174 0 54 219 235 107 204 271 252 84 159 126 189 324 378 294
"XLOC_005594" 271 189 54 174 378 235 324 294 107 126 252 143 0 204 84 219 159
"XLOC_005595" 107 54 84 0 126 235 378 324 143 159 294 271 174 204 219 252 189
"XLOC_005596" 84 107 54 0 126 143 159 235 219 271 324 378 204 294 189 252 174
"XLOC_005597" 219 271 0 143 84 54 107 126 174 159 294 204 378 324 252 189 235
"XLOC_005598" 219 294 126 0 143 54 84 107 252 174 271 235 324 378 159 189 204
"XLOC_005599" 235 204 378 324 271 84 54 0 189 294 252 174 219 126 159 107 143
"XLOC_005600" 378 324 0 84 126 159 174 107 252 235 189 143 219 54 204 294 271
"XLOC_005601" 252 235 174 107 294 271 378 324 189 84 204 219 0 143 54 126 159
"XLOC_005602" 271 235 252 294 378 324 0 54 84 107 126 143 219 204 189 159 174
"XLOC_005603" 0 54 84 107 126 378 143 294 159 174 189 204 219 324 271 235 252
"XLOC_005604" 235 0 378 324 189 252 54 84 107 126 143 159 204 174 294 219 271
"XLOC_005605" 107 159 378 324 271 294 0 174 143 54 126 84 252 189 204 219 235
"XLOC_005606" 159 271 324 378 54 0 107 84 219 235 252 126 294 143 204 174 189
"XLOC_005607" 107 54 294 271 378 324 252 235 219 204 143 189 84 174 159 126 0
"XLOC_005608" 174 159 378 324 294 271 0 54 252 204 107 84 143 126 235 219 189
"XLOC_005609" 84 107 204 174 324 378 189 252 0 54 143 126 294 271 219 235 159
"XLOC_005610" 235 174 294 271 378 324 204 143 189 107 219 252 54 159 126 84 0
"XLOC_005611" 294 324 204 174 159 126 235 189 0 54 378 252 271 219 84 107 143
"XLOC_005612" 174 143 189 159 294 378 324 252 0 54 235 219 204 271 84 126 107
"XLOC_005613" 378 324 84 107 0 54 143 126 252 294 174 159 235 189 219 204 271
"XLOC_005614" 378 324 54 126 84 0 174 159 219 252 189 107 271 143 204 235 294
"XLOC_005615" 378 324 143 107 0 126 219 54 84 174 252 159 294 204 235 189 271
"XLOC_005616" 271 252 84 107 54 0 126 235 189 294 324 143 378 159 204 174 219
"XLOC_005617" 0 54 378 324 84 107 126 143 235 159 174 189 204 219 271 252 294
"XLOC_005618" 378 235 271 294 0 54 84 252 107 126 204 324 159 219 143 189 174
"XLOC_005619" 107 294 126 159 0 271 54 84 204 324 189 378 143 219 235 174 252
"XLOC_005620" 0 54 294 271 378 324 204 143 235 174 219 252 84 159 189 107 126
"XLOC_005621" 235 252 378 324 271 294 126 84 189 107 54 143 0 159 219 204 174
"XLOC_005622" 174 126 235 294 0 54 378 324 219 143 271 252 204 189 84 107 159
"XLOC_005623" 294 324 174 143 271 219 0 84 159 189 378 235 252 54 204 126 107
"XLOC_005624" 0 84 294 271 378 324 204 107 235 219 54 126 252 189 159 174 143
"XLOC_005625" 219 252 294 324 174 84 235 204 378 271 189 54 107 0 159 143 126
"XLOC_005626" 294 235 378 324 159 174 0 54 107 84 126 143 204 189 219 271 252
"XLOC_005627" 84 174 252 204 107 143 159 0 324 378 54 126 189 219 235 294 271
"XLOC_005628" 0 54 378 324 219 84 271 189 126 235 294 252 107 143 174 204 159
"XLOC_005629" 107 54 271 294 219 252 378 324 126 84 174 235 0 143 189 204 159
"XLOC_005630" 0 235 107 189 54 84 204 174 324 271 143 159 126 219 252 378 294
"XLOC_005631" 294 324 271 204 126 189 84 54 0 235 174 107 378 143 159 219 252
"XLOC_005632" 294 0 252 204 189 271 54 84 324 378 159 174 219 235 143 126 107
"XLOC_005633" 252 235 174 143 159 189 294 271 126 107 324 378 204 219 54 0 84
"XLOC_005634" 271 294 54 0 324 378 143 174 159 126 84 107 204 189 235 219 252
"XLOC_005635" 235 0 54 84 324 378 107 126 143 159 174 189 204 219 271 294 252
"XLOC_005636" 0 54 143 126 235 204 378 294 159 219 271 324 189 252 107 174 84
"XLOC_005637" 252 143 159 54 107 0 378 235 294 324 271 84 189 126 219 174 204
"XLOC_005638" 107 0 294 271 378 324 252 235 143 204 189 219 84 174 126 159 54
"XLOC_005639" 235 219 324 378 271 294 54 0 84 126 107 143 204 252 159 174 189
"XLOC_005640" 294 252 271 378 324 189 0 143 126 54 84 107 204 235 159 219 174
"XLOC_005641" 143 54 126 107 0 378 174 189 84 219 204 159 252 235 271 324 294
"XLOC_005642" 294 219 159 126 378 324 0 174 143 54 84 107 189 204 271 235 252
"XLOC_005643" 126 143 294 271 324 378 174 159 54 0 84 107 252 189 204 235 219
"XLOC_005644" 0 54 324 378 271 294 252 235 107 126 189 219 84 159 174 204 143
"XLOC_005645" 219 204 143 252 324 271 54 0 378 294 174 126 189 84 159 235 107
"XLOC_005646" 378 324 0 54 84 107 126 143 271 294 159 174 189 204 219 252 235
"XLOC_005647" 159 107 294 271 324 378 252 126 143 219 235 204 174 189 0 54 84
"XLOC_005648" 252 143 174 159 204 189 378 324 107 54 294 271 235 219 126 84 0
"XLOC_005649" 204 143 174 294 378 252 0 54 271 324 159 235 107 84 219 126 189
"XLOC_005650" 235 204 219 252 324 378 143 54 0 84 189 294 174 271 126 107 159
"XLOC_005651" 159 143 252 204 271 324 378 294 0 174 219 189 107 235 84 126 54
"XLOC_005652" 143 235 159 204 0 54 174 84 324 378 107 126 189 219 252 271 294
"XLOC_005653" 324 271 143 126 107 54 0 84 235 378 219 174 294 159 204 189 252
"XLOC_005654" 0 54 107 126 204 294 378 324 271 235 159 252 84 219 174 189 143
"XLOC_005655" 54 0 107 143 84 126 378 189 324 271 219 235 159 294 174 204 252
"XLOC_005656" 126 107 219 204 0 84 143 54 378 159 174 189 271 235 294 252 324
"XLOC_005657" 0 189 54 84 107 126 204 143 159 219 174 271 378 294 252 235 324
"XLOC_005658" 0 54 84 107 126 143 159 252 174 324 189 204 294 378 219 235 271
"XLOC_005659" 0 54 84 107 126 143 159 174 252 271 324 189 378 204 219 294 235
"XLOC_005660" 0 54 84 107 126 143 159 174 189 378 204 219 324 235 252 271 294
"XLOC_005661" 0 54 84 107 126 143 159 174 271 378 189 324 204 219 252 294 235
"XLOC_005662" 252 271 235 204 324 378 159 107 219 189 0 174 84 294 126 143 54
"XLOC_005663" 107 84 54 0 126 219 378 324 189 174 271 294 159 235 143 252 204
"XLOC_005664" 84 54 204 219 143 271 378 324 107 126 252 294 0 174 189 235 159
"XLOC_005665" 0 54 271 294 324 378 252 235 174 143 189 219 84 204 126 159 107
"XLOC_005666" 107 84 0 54 126 143 378 252 294 324 174 189 159 271 204 235 219
"XLOC_005667" 378 252 204 174 107 0 84 54 126 189 143 159 294 219 235 271 324
"XLOC_005668" 189 143 271 294 324 252 235 378 159 126 204 219 54 174 107 0 84
"XLOC_005669" 235 219 294 252 324 378 0 54 174 107 84 189 204 271 159 143 126
"XLOC_005670" 126 143 0 54 107 84 378 324 294 159 252 204 174 271 219 189 235
"XLOC_005671" 204 271 126 107 324 378 219 235 143 189 252 294 159 174 84 54 0
"XLOC_005672" 378 174 204 235 107 0 294 324 126 159 252 271 189 219 54 84 143
"XLOC_005673" 219 143 0 84 189 54 126 204 107 235 159 294 174 324 378 271 252
"XLOC_005674" 204 174 378 324 126 143 84 107 219 235 54 0 159 189 294 271 252
"XLOC_005675" 189 204 294 378 54 235 159 219 252 0 107 271 143 324 174 126 84
"XLOC_005676" 378 324 54 0 252 294 235 219 84 107 143 204 174 271 189 159 126
"XLOC_005677" 271 235 189 84 54 107 378 324 294 252 174 204 0 159 126 219 143
"XLOC_005678" 189 204 324 378 271 294 252 143 174 107 159 235 126 219 54 84 0
"XLOC_005679" 189 159 271 252 324 378 294 235 0 54 174 219 107 204 126 84 143
"XLOC_005680" 235 252 271 294 378 324 143 54 84 219 0 126 189 204 174 107 159
"XLOC_005681" 189 143 235 252 324 378 84 107 0 204 126 294 219 271 174 54 159
"XLOC_005682" 159 143 271 294 324 378 235 174 204 189 126 252 107 219 84 0 54
"XLOC_005683" 143 107 189 54 324 294 378 271 84 0 235 252 204 219 126 159 174
"XLOC_005684" 189 84 271 324 294 378 252 143 235 219 0 159 126 204 174 54 107
"XLOC_005685" 107 174 54 0 126 143 294 252 378 271 235 324 84 159 204 219 189
"XLOC_005686" 204 143 235 252 189 174 324 378 107 126 294 271 159 219 54 84 0
"XLOC_005687" 294 219 324 378 0 54 84 107 189 126 143 235 252 271 174 204 159
"XLOC_005688" 235 174 0 54 84 107 126 219 271 143 189 252 204 159 294 378 324
"XLOC_005689" 0 107 84 54 126 159 324 378 294 271 189 204 143 174 235 252 219
"XLOC_005690" 189 107 84 0 324 378 235 204 143 54 219 252 271 294 174 159 126
"XLOC_005691" 143 126 219 204 0 54 252 235 107 84 294 271 324 378 159 189 174
"XLOC_005692" 126 159 271 294 378 324 84 189 143 107 54 0 204 174 252 219 235
"XLOC_005693" 84 189 0 126 378 324 204 252 159 107 294 235 219 271 174 54 143
"XLOC_005694" 219 84 107 159 324 378 294 271 143 189 235 204 174 252 0 54 126
"XLOC_005695" 84 107 54 0 271 174 378 294 204 159 324 235 143 126 219 252 189
"XLOC_005696" 271 219 143 107 324 54 84 126 252 235 378 294 204 0 159 174 189
"XLOC_005697" 324 378 54 0 159 252 219 235 107 84 126 174 271 294 204 189 143
"XLOC_005698" 378 324 294 252 126 107 0 54 84 219 174 159 189 143 235 271 204
"XLOC_005699" 107 143 159 174 324 378 0 189 235 219 126 252 271 294 204 54 84
"XLOC_005700" 271 235 204 219 324 378 0 159 294 252 126 84 174 54 189 107 143
"XLOC_005701" 324 252 219 271 54 0 378 235 126 174 294 189 204 143 107 84 159
"XLOC_005702" 378 324 0 54 126 107 143 84 204 294 174 159 271 189 252 219 235
"XLOC_005703" 0 54 84 107 126 143 378 324 159 271 294 174 189 204 219 235 252
"XLOC_005704" 324 378 204 174 252 294 0 54 189 126 84 143 159 107 271 235 219
"XLOC_005705" 378 324 159 126 294 271 204 219 107 0 54 189 84 143 235 174 252
"XLOC_005706" 126 84 54 0 107 204 189 159 378 324 143 219 174 271 252 294 235
"XLOC_005707" 54 0 294 324 189 84 204 174 271 378 107 126 159 143 219 252 235
"XLOC_005708" 84 294 54 0 219 126 189 107 235 252 174 143 159 204 378 271 324
"XLOC_005709" 189 324 0 54 84 107 126 143 235 252 204 159 174 219 294 271 378
"XLOC_005710" 189 324 0 54 84 107 126 143 235 252 159 219 174 204 378 271 294
"XLOC_005711" 219 252 0 54 84 174 107 143 271 235 159 126 189 204 294 324 378
"XLOC_005712" 159 174 0 84 107 126 54 143 378 324 204 189 294 219 271 252 235
"XLOC_005713" 294 252 378 324 235 204 126 107 189 143 174 219 159 271 0 54 84
"XLOC_005714" 126 159 378 294 189 219 84 174 235 204 0 54 107 143 271 324 252
"XLOC_005715" 235 271 219 204 0 54 84 252 174 107 189 126 159 143 378 294 324
"XLOC_005716" 84 107 159 174 143 126 0 54 252 219 271 294 324 378 235 204 189
"XLOC_005717" 204 219 294 271 378 324 84 0 252 235 159 126 54 107 189 174 143
"XLOC_005718" 0 54 84 107 126 143 159 174 378 252 189 204 219 235 271 294 324
"XLOC_005719" 0 54 219 235 84 107 126 143 378 324 159 174 189 204 271 252 294
"XLOC_005720" 84 107 378 324 126 204 143 174 271 219 54 0 159 189 235 294 252
"XLOC_005721" 378 252 84 219 143 54 0 174 189 159 204 294 324 107 235 126 271
"XLOC_005722" 378 324 54 0 84 107 271 143 219 126 252 294 189 174 204 159 235
"XLOC_005723" 324 294 84 159 252 54 0 174 235 143 204 126 271 378 107 219 189
"XLOC_005724" 378 235 159 0 189 54 84 204 294 324 107 126 143 174 271 252 219
